UF,Sexo,Idade,Raca,Anos de Estudo,Renda,Altura
11,Feminino,49,Negro,1,1200,1.632.010.545
11,Masculino,37,Negro,9,1500,1.701.369.066
11,Masculino,24,Pardo,12,1200,1.542.187.487
11,Feminino,40,Negro,9,850,1.784.559.772
11,Masculino,39,Negro,10,1200,1.679.341.936
11,Masculino,39,Negro,11,900,1.772.286.883
11,Masculino,41,Negro,2,1200,1.669.996.473
11,Masculino,36,Negro,9,2500,1.661.693.983
11,Feminino,37,Negro,11,400,1.719.933.842
11,Masculino,28,Pardo,12,1100,1.728.302.429
11,Masculino,32,Branco,12,1200,1.653.043.786
11,Masculino,24,Pardo,12,2500,1.620.771.725
11,Masculino,39,Branco,14,4000,1.510.171.114
11,Masculino,33,Branco,16,2500,1.623.599.656
11,Feminino,49,Negro,6,788,1.701.556.571
11,Masculino,37,Branco,12,2000,1.566.850.054
11,Masculino,35,Pardo,12,788,1.570.629.405
11,Feminino,55,Negro,9,380,1.891.911.461
11,Masculino,24,Negro,12,836,1.665.663.657
11,Masculino,34,Negro,15,1250,1.709.368.199
11,Masculino,27,Branco,12,1325,1.607.844.631
11,Masculino,50,Branco,8,1550,1.787.377.877
11,Masculino,53,Indigena,8,1800,1.608.399.085
11,Masculino,67,Pardo,1,1500,1.763.905.316
11,Masculino,52,Branco,12,20000,1.635.818.853
11,Masculino,42,Negro,5,3000,1.738.460.556
11,Feminino,66,Branco,1,1600,1.826.377.869
11,Masculino,47,Branco,4,788,1.738.136.803
11,Masculino,60,Negro,9,1400,172.215.259
11,Masculino,29,Branco,11,580,1.682.925.706
11,Masculino,55,Branco,5,1500,1.727.120.107
11,Masculino,55,Branco,5,1000,176.526.822
11,Masculino,56,Branco,5,100,1.731.027.167
11,Masculino,69,Branco,9,0,1.611.123.982
11,Masculino,51,Branco,4,1000,1.615.538.212
11,Feminino,25,Negro,12,390,1.629.709.329
11,Masculino,49,Negro,3,788,1.726.483.566
11,Masculino,61,Pardo,4,1800,1.538.167.873
11,Feminino,54,Negro,1,400,1.738.933.215
11,Masculino,37,Negro,7,1500,1.651.192.628
11,Masculino,39,Branco,9,2000,1.666.723.724
11,Masculino,52,Branco,5,350,1.781.144.172
11,Masculino,48,Branco,2,1600,171.785.355
11,Masculino,40,Negro,8,1600,1.513.863.366
11,Masculino,73,Branco,1,1000,1.553.525.857
11,Masculino,49,Branco,3,788,172.315.498
11,Masculino,45,Negro,16,3000,1.743.084.772
11,Masculino,80,Branco,5,2000,166.802.203
11,Masculino,45,Negro,12,10000,17.471.745
11,Feminino,34,Pardo,16,900,1.777.475.303
11,Masculino,65,Branco,7,6000,1.840.835.531
11,Feminino,23,Branco,15,1600,1.730.926.053
11,Masculino,52,Branco,12,1300,1.723.572.813
11,Feminino,32,Negro,12,1400,1.559.549.881
11,Feminino,36,Negro,12,1400,1.729.987.752
11,Masculino,28,Branco,16,3500,1.592.238.852
11,Masculino,48,Branco,12,2500,1.636.973.911
11,Masculino,36,Negro,12,1700,1.654.289.422
11,Masculino,48,Branco,9,4500,1.732.583.823
11,Feminino,42,Branco,12,1700,1.627.887.329
11,Feminino,46,Branco,12,4124,1.718.625.846
11,Feminino,51,Negro,12,1500,159.485.698
11,Masculino,26,Negro,12,1200,1.731.993.035
11,Masculino,25,Negro,13,1000,1.871.046.059
11,Masculino,27,Negro,12,1200,1.763.705.326
11,Masculino,28,Negro,12,1600,1.579.531.361
11,Feminino,37,Negro,11,950,1.709.822.149
11,Masculino,26,Negro,11,1500,1.674.497.651
11,Masculino,27,Negro,11,1500,1.692.249.071
11,Masculino,41,Negro,16,4000,1.706.601.775
11,Masculino,49,Branco,6,900,1.772.734.561
11,Masculino,32,Negro,16,6000,1.727.408.774
11,Masculino,41,Pardo,1,3000,1.778.035.651
11,Masculino,30,Branco,16,6000,1.735.782.272
11,Masculino,79,Branco,12,0,1.787.522.442
11,Masculino,52,Negro,15,2200,1.789.394.412
11,Masculino,36,Branco,12,2000,1.639.359.278
11,Masculino,35,Negro,16,4000,1.738.335.643
11,Masculino,50,Negro,1,1000,1.743.165.296
11,Masculino,53,Negro,1,1400,1.554.162.354
11,Feminino,32,Negro,5,788,1.772.603.355
11,Feminino,36,Branco,9,788,1.677.731.391
11,Masculino,52,Pardo,9,1700,1.684.526.315
11,Masculino,55,Negro,1,1000,1.727.906.955
11,Masculino,42,Branco,16,3000,1.720.236.047
11,Masculino,35,Negro,5,1500,1.679.200.749
11,Masculino,71,Branco,6,1100,1.739.955.274
11,Masculino,31,Pardo,1,1000,1.758.267.501
11,Feminino,43,Negro,12,1100,1.717.289.179
11,Masculino,51,Negro,9,1200,1.660.772.859
11,Masculino,37,Negro,9,2580,1.649.140.632
11,Masculino,38,Negro,17,1900,1.707.080.223
11,Feminino,35,Negro,16,2150,1.679.997.644
11,Masculino,26,Branco,12,1800,173.665.454
11,Feminino,50,Negro,6,300,1.681.007.713
11,Masculino,59,Negro,5,1300,1.691.254.559
11,Masculino,25,Negro,12,788,1.714.962.843
11,Feminino,42,Branco,16,2800,172.502.471
11,Masculino,41,Negro,5,1440,1.660.942.452
11,Masculino,38,Negro,5,850,1.711.345.558
11,Feminino,36,Branco,16,9000,1.724.220.376
11,Masculino,32,Negro,15,7800,1.729.626.334
11,Masculino,45,Negro,5,1200,1.614.643.223
11,Feminino,26,Branco,11,1500,1.656.445.512
11,Feminino,28,Branco,12,3000,1.668.200.817
11,Masculino,29,Negro,6,400,1.648.669.596
11,Feminino,30,Negro,7,550,1.837.242.863
11,Feminino,36,Negro,12,1200,1.741.514.536
11,Masculino,25,Negro,12,1500,1.735.279.131
11,Masculino,26,Negro,6,1100,1.758.025.719
11,Feminino,44,Negro,6,900,161.644.168
11,Feminino,19,Branco,12,2300,1.804.838.993
11,Masculino,34,Indigena,16,8000,1.649.053.073
11,Masculino,36,Negro,13,1400,1.807.143.241
11,Feminino,36,Negro,16,5000,1.654.739.706
11,Masculino,39,Branco,3,2500,165.973.197
11,Masculino,32,Negro,12,1490,1.833.820.401
11,Masculino,57,Negro,3,2300,1.752.300.365
11,Feminino,28,Branco,5,430,1.739.136.095
11,Masculino,28,Branco,9,400,1.636.523.743
11,Feminino,36,Negro,12,300,1.749.389.281
11,Masculino,46,Negro,10,160,1.700.809.575
11,Masculino,49,Branco,16,900,1.594.849.162
11,Masculino,39,Negro,4,688,1.844.883.796
11,Masculino,49,Branco,9,400,1.654.019.078
11,Masculino,55,Branco,3,1000,1.816.873.908
11,Masculino,60,Negro,9,0,1.715.936.556
11,Masculino,55,Negro,9,8000,1.837.528.846
11,Feminino,22,Branco,16,805,1.815.143.228
11,Masculino,42,Negro,12,6000,1.740.019.168
11,Masculino,35,Branco,16,2000,1.610.327.007
11,Masculino,38,Negro,12,850,1.776.701.002
11,Masculino,29,Branco,16,5200,1.605.596.826
11,Masculino,66,Pardo,2,789,1.710.531.655
11,Masculino,48,Branco,1,2000,160.734.188
11,Masculino,34,Negro,16,5000,1.671.755.171
11,Feminino,49,Negro,12,400,1.606.770.127
11,Masculino,49,Branco,9,1800,1.564.118.322
11,Masculino,62,Branco,12,4000,1.712.222.929
11,Masculino,28,Pardo,12,1000,1.745.179.769
11,Feminino,32,Negro,6,200,1.612.323.235
11,Masculino,41,Branco,1,250,1.811.847.854
11,Masculino,52,Negro,3,800,1.727.525.317
11,Masculino,43,Negro,12,1600,1.759.334.993
11,Masculino,39,Branco,8,800,1.679.203.572
11,Masculino,37,Negro,6,1600,1.728.953.956
11,Masculino,67,Negro,1,1000,1.643.999.861
11,Masculino,54,Branco,5,2500,1.735.019.871
11,Masculino,77,Negro,1,250,1.791.420.938
11,Masculino,64,Negro,4,1000,1.715.299.407
11,Masculino,58,Branco,1,10000,1.722.839.364
11,Masculino,57,Negro,3,1200,1.804.646.938
11,Masculino,43,Negro,13,1200,1.778.950.307
11,Masculino,64,Negro,5,3000,1.705.584.335
11,Masculino,52,Branco,7,1200,1.733.608.819
11,Masculino,52,Negro,1,2500,1.753.327.657
11,Feminino,26,Negro,15,1000,1.817.722.725
11,Masculino,41,Branco,12,2700,1.706.976.565
11,Masculino,24,Negro,16,1300,1.772.257.117
11,Feminino,31,Negro,6,500,176.083.604
11,Feminino,29,Branco,14,1000,1.711.327.999
11,Masculino,41,Negro,5,1500,176.445.333
11,Masculino,44,Negro,6,1900,1.634.594.403
11,Feminino,38,Branco,7,1300,1.721.233.932
11,Feminino,62,Negro,10,300,162.495.925
11,Masculino,59,Branco,1,788,1.784.691.602
11,Feminino,60,Branco,3,788,1.709.539.664
11,Masculino,48,Branco,5,2500,1.740.528.997
11,Masculino,56,Branco,2,788,1.721.948.047
11,Feminino,32,Branco,9,1020,1.624.170.747
11,Feminino,43,Negro,1,600,1.610.421.713
11,Feminino,26,Negro,12,1920,1.715.418.767
11,Masculino,57,Pardo,5,1500,1.730.241.951
11,Masculino,39,Negro,1,788,1.587.156.567
11,Masculino,45,Branco,12,1000,1.794.884.073
11,Masculino,51,Negro,2,2500,1.715.059.812
11,Masculino,34,Branco,12,789,1.838.923.596
11,Feminino,40,Pardo,7,830,1.631.127.346
11,Feminino,36,Branco,12,1000,1.530.269.667
11,Masculino,55,Negro,7,1800,1.755.595.003
11,Masculino,49,Branco,8,2300,1.835.355.316
11,Masculino,39,Negro,12,800,1.672.349.006
11,Feminino,39,Negro,6,788,1.641.681.806
11,Feminino,38,Pardo,16,1200,1.700.708.687
11,Feminino,17,Branco,11,230,1.840.929.648
11,Masculino,51,Branco,16,2364,1.617.595.593
11,Feminino,56,Branco,7,500,1.609.445.009
11,Feminino,45,Negro,1,1800,1.709.539.346
11,Masculino,57,Branco,3,3650,1.638.209.027
11,Masculino,69,Branco,1,850,1.699.977.664
11,Feminino,38,Negro,5,0,1.726.380.083
11,Masculino,31,Branco,9,2000,1.533.781.023
11,Masculino,54,Negro,1,1500,1.793.828.782
11,Masculino,41,Branco,5,700,1.785.477.747
11,Masculino,43,Branco,4,750,1.608.269.896
11,Masculino,40,Branco,5,800,1.698.189.024
11,Masculino,39,Negro,1,1200,1.664.920.063
11,Masculino,42,Branco,4,1400,1.729.185.303
11,Masculino,58,Negro,1,750,1.654.449.975
11,Feminino,23,Negro,9,300,1.822.339.604
11,Feminino,43,Negro,10,788,1.530.682.737
11,Masculino,38,Negro,6,400,1.840.644.739
11,Masculino,38,Branco,16,400,1.754.663.691
11,Feminino,38,Pardo,6,788,1.698.167.372
11,Masculino,37,Negro,1,788,1.594.890.204
11,Feminino,59,Negro,4,1500,1.534.158.814
11,Masculino,50,Negro,7,1500,1.680.383.502
11,Masculino,31,Branco,16,3000,17.207.937
11,Masculino,44,Negro,12,1400,1.781.007.987
11,Masculino,27,Negro,12,1000,1.634.692.307
11,Feminino,36,Negro,12,800,1.879.012.232
11,Masculino,37,Negro,7,800,1.730.865.592
11,Masculino,49,Negro,12,700,1.858.994.735
11,Masculino,55,Negro,8,900,1.731.334.193
11,Masculino,37,Pardo,9,788,181.014.312
11,Feminino,52,Negro,12,788,1.553.276.832
11,Feminino,38,Negro,1,400,177.528.698
11,Feminino,66,Negro,16,2000,1.729.180.189
11,Masculino,63,Branco,12,3000,1.849.865.103
11,Feminino,31,Negro,15,300,1.770.795.407
11,Feminino,49,Negro,12,1300,179.307.671
11,Masculino,46,Branco,6,1200,1.720.288.563
11,Masculino,45,Negro,8,1500,1.776.154.971
11,Feminino,33,Pardo,10,200,172.527.463
11,Masculino,58,Pardo,8,1600,1.672.713.166
11,Masculino,54,Negro,3,1200,1.553.054.861
11,Masculino,72,Negro,1,1500,1.734.895.336
11,Masculino,70,Negro,1,400,1.604.257.134
11,Masculino,50,Negro,6,350,1.739.618.858
11,Masculino,64,Branco,5,2400,1.745.479.841
11,Masculino,61,Negro,5,0,1.598.207.291
11,Masculino,53,Negro,1,788,1.837.902.771
11,Masculino,38,Negro,6,800,1.651.160.293
11,Masculino,72,Negro,1,0,1.657.999.179
11,Masculino,22,Branco,8,1100,1.779.518.039
11,Masculino,50,Branco,13,2500,192.579.977
11,Masculino,49,Negro,2,0,1.798.253.592
11,Masculino,41,Branco,16,2000,1.676.554.676
11,Masculino,31,Branco,14,3000,1.728.661.239
11,Masculino,44,Branco,16,5000,1.749.771.342
11,Masculino,41,Branco,16,3500,1.576.958.875
11,Masculino,42,Negro,9,3500,1.556.648.626
11,Masculino,18,Negro,10,800,169.346.055
11,Masculino,41,Pardo,5,800,1.720.577.135
11,Feminino,23,Negro,14,850,1.793.628.846
11,Masculino,37,Negro,9,850,1.685.051.771
11,Feminino,47,Branco,17,788,1.813.393.331
11,Masculino,19,Negro,9,1500,1.651.605.414
11,Masculino,35,Negro,9,1000,1.581.273.642
11,Masculino,33,Negro,12,1200,1.735.513.155
11,Feminino,34,Negro,10,800,1.618.622.823
11,Masculino,36,Negro,6,2000,1.619.677.459
11,Feminino,38,Branco,8,1000,1.693.734.834
11,Feminino,33,Negro,16,2000,1.610.727.425
11,Masculino,58,Negro,1,800,1.600.100.393
11,Feminino,46,Negro,9,788,1.800.521.066
11,Masculino,56,Negro,4,1300,1.619.059.013
11,Masculino,34,Negro,12,2500,1.673.185.626
11,Masculino,28,Negro,6,1000,1.799.869.738
11,Masculino,27,Negro,12,3500,1.680.026.871
11,Masculino,28,Negro,4,800,1.672.872.093
11,Masculino,22,Branco,9,788,1.747.933.413
11,Masculino,44,Pardo,9,1500,1.717.878.112
11,Masculino,32,Negro,9,1600,172.177.337
11,Masculino,36,Negro,8,1700,1.845.530.572
11,Masculino,39,Negro,7,2000,173.888.129
11,Masculino,45,Negro,16,1000,1.836.743.013
11,Feminino,39,Pardo,9,100,1.726.598.949
11,Feminino,21,Branco,9,788,1.735.220.523
11,Masculino,26,Negro,12,1400,1.638.165.938
11,Masculino,44,Negro,16,1200,1.717.992.835
11,Masculino,40,Negro,5,1500,149.861.126
11,Masculino,57,Branco,5,1300,1.680.255.885
11,Masculino,40,Pardo,8,600,1.651.368.209
11,Masculino,41,Negro,6,900,1.727.758.113
11,Masculino,44,Branco,4,1200,1.655.147.987
11,Masculino,40,Negro,5,2000,175.275.962
11,Masculino,44,Negro,12,900,1.789.949.139
11,Masculino,51,Negro,1,2000,1.752.622.471
11,Masculino,35,Negro,4,900,1.673.762.837
11,Masculino,22,Negro,1,788,1.654.788.996
11,Masculino,44,Negro,4,900,1.607.891.899
11,Masculino,31,Negro,9,1500,1.686.726.382
11,Masculino,22,Negro,12,788,1.567.346.954
11,Masculino,61,Branco,16,10000,1.618.431.434
11,Feminino,26,Negro,10,788,1.779.590.173
11,Masculino,56,Negro,12,2800,1.856.666.759
11,Masculino,53,Negro,9,788,1.643.559.757
11,Masculino,37,Negro,1,788,1.754.062.252
11,Masculino,24,Branco,11,2000,1.701.151.149
11,Feminino,34,Branco,12,789,1.778.533.399
11,Masculino,25,Negro,14,1500,1.686.974.776
11,Feminino,40,Branco,14,2800,1.723.082.263
11,Masculino,63,Negro,9,3000,1.664.390.525
11,Masculino,36,Negro,12,1200,1.778.775.969
11,Feminino,32,Negro,13,2000,1.604.770.597
11,Masculino,50,Branco,9,1000,1.748.451.233
11,Masculino,47,Negro,7,2500,1.738.575.623
11,Feminino,45,Negro,16,1150,1.743.459.633
11,Masculino,36,Branco,5,2000,1.711.175.816
11,Masculino,46,Branco,9,5000,1.793.000.554
11,Masculino,47,Branco,12,3000,1.789.784.135
11,Masculino,56,Branco,16,8000,1.709.297.771
11,Masculino,46,Negro,6,1200,1.673.878.003
11,Masculino,47,Negro,12,2500,1.689.472.643
11,Masculino,52,Negro,9,10000,1.728.276.901
11,Feminino,23,Negro,7,788,1.711.909.504
11,Masculino,38,Pardo,12,2400,1.779.836.869
11,Masculino,52,Branco,9,3000,1.639.235.512
11,Masculino,29,Negro,16,1900,1.802.592.345
11,Masculino,40,Negro,16,7500,1.736.740.461
11,Masculino,58,Negro,12,3310,1.724.049.175
11,Masculino,28,Negro,5,900,1.584.638.218
11,Masculino,52,Negro,1,800,1.732.961.146
11,Masculino,38,Negro,6,3500,16.859.077
11,Masculino,22,Negro,12,1000,1.684.574.172
11,Masculino,49,Branco,5,8500,1.711.913.319
11,Feminino,59,Negro,5,250,1.580.498.823
11,Masculino,42,Branco,2,950,1.727.489.959
11,Masculino,40,Negro,4,1300,1.830.929.004
11,Masculino,20,Negro,9,1500,1.661.791.496
11,Feminino,58,Negro,16,2000,1.777.485.465
11,Masculino,51,Negro,12,7000,165.469.875
11,Masculino,62,Negro,12,6000,1.774.268.264
11,Masculino,36,Branco,12,3400,1.741.173.403
11,Feminino,46,Branco,12,788,1.653.608.061
11,Masculino,54,Negro,12,1200,1.743.742.384
11,Feminino,51,Negro,12,780,1.727.718.085
11,Masculino,37,Branco,12,788,1.733.625.776
11,Masculino,22,Negro,11,2000,1.745.545.114
11,Masculino,21,Negro,7,1400,1.671.334.076
11,Masculino,47,Negro,16,1800,1.574.972.387
11,Feminino,38,Negro,6,900,1.684.613.226
11,Masculino,69,Branco,1,1182,1.683.305.087
11,Masculino,68,Negro,1,600,1.733.743.937
11,Masculino,57,Negro,16,4200,1.724.617.047
11,Feminino,36,Pardo,12,788,1.630.642.529
11,Feminino,47,Negro,13,150,149.652.401
11,Masculino,59,Branco,13,4000,1.819.988.588
11,Masculino,53,Negro,16,7000,1.788.792.734
11,Feminino,46,Branco,16,1700,163.075.336
11,Feminino,59,Branco,9,80,1.840.218.073
11,Masculino,44,Negro,12,800,1.637.466.793
11,Masculino,29,Negro,12,1000,1.847.668.727
11,Feminino,50,Negro,6,2000,1.740.231.338
11,Feminino,54,Pardo,5,788,1.582.048.118
11,Feminino,47,Negro,5,870,1.633.458.627
11,Masculino,33,Negro,7,1200,1.661.903.251
11,Masculino,63,Negro,1,200,174.140.719
11,Feminino,37,Negro,11,1100,1.796.194.806
11,Masculino,61,Pardo,5,1000,1.817.428.265
11,Masculino,42,Branco,9,2000,1.669.562.863
11,Feminino,34,Negro,10,200,1.697.745.534
11,Masculino,37,Pardo,16,4300,1.758.374.665
11,Masculino,39,Branco,12,2000,1.574.776.992
11,Masculino,36,Negro,4,1200,1.674.280.747
11,Masculino,56,Negro,2,1070,1.628.137.374
11,Masculino,59,Branco,6,1000,1.831.915.196
11,Masculino,46,Branco,9,800,1.783.098.992
11,Masculino,48,Branco,16,5000,1.749.381.315
11,Masculino,59,Negro,1,350,1.693.126.416
11,Masculino,20,Negro,8,500,1.722.843.495
11,Masculino,41,Negro,10,500,1.691.885.531
11,Masculino,61,Branco,1,1100,1.846.371.672
11,Masculino,27,Branco,12,1200,170.121.296
11,Feminino,50,Negro,4,788,1.652.795.699
11,Masculino,74,Branco,3,1000,1.576.525.886
11,Feminino,59,Negro,9,400,148.963.102
11,Masculino,36,Negro,4,788,1.759.130.275
11,Masculino,57,Pardo,5,150,154.189.054
11,Masculino,34,Branco,9,3000,1.661.599.897
11,Masculino,40,Negro,12,1300,1.767.950.664
11,Masculino,52,Negro,5,200,1.752.975.967
11,Masculino,29,Negro,11,788,1.794.573.155
11,Feminino,59,Pardo,2,250,1.664.267.692
11,Masculino,43,Negro,12,1000,171.799.009
11,Masculino,43,Negro,6,788,1.686.677.201
11,Feminino,39,Negro,9,788,1.662.565.011
11,Masculino,38,Branco,12,2000,1.803.529.273
11,Feminino,27,Pardo,1,600,1.632.839.736
11,Masculino,36,Branco,12,600,1.608.022.778
11,Masculino,56,Negro,8,4500,1.757.959.655
11,Masculino,34,Pardo,12,1000,1.797.798.255
11,Masculino,61,Negro,3,788,1.802.870.341
11,Masculino,32,Branco,9,1400,1.822.337.228
11,Feminino,53,Branco,6,500,1.794.157.648
11,Masculino,59,Pardo,12,0,171.723.851
11,Masculino,57,Negro,8,350,1.797.763.391
11,Masculino,38,Negro,12,920,1.740.909.945
11,Feminino,35,Branco,16,2400,160.081.945
11,Feminino,40,Branco,6,800,1.774.058.089
11,Masculino,34,Negro,5,4800,1.756.893.984
11,Masculino,31,Negro,12,3000,1.650.361.065
11,Masculino,34,Branco,9,1200,1.739.312.464
11,Masculino,34,Negro,11,1500,1.516.083.715
11,Masculino,22,Branco,8,2500,1.595.411.434
11,Masculino,64,Branco,12,1500,1.765.973.824
11,Masculino,53,Branco,16,1500,1.725.466.892
11,Masculino,36,Branco,12,1500,1.801.506.807
11,Masculino,29,Branco,9,1000,1.544.522.834
11,Masculino,49,Branco,2,2000,17.441.112
11,Masculino,35,Negro,9,1300,1.757.073.127
11,Masculino,21,Negro,12,1200,1.628.301.491
11,Feminino,30,Negro,5,1400,1.643.452.224
11,Masculino,52,Negro,5,1000,1.824.898.197
11,Masculino,37,Branco,5,1500,1.735.052.943
11,Feminino,57,Negro,10,1000,1.742.390.154
11,Masculino,31,Negro,15,2500,1.659.751.587
11,Masculino,58,Negro,5,200,1.700.024.429
11,Masculino,34,Negro,7,1270,1.654.674.812
11,Masculino,49,Negro,4,788,1.638.713.738
11,Feminino,31,Branco,13,1200,1.802.602.651
11,Feminino,38,Negro,9,1500,1.723.881.965
11,Masculino,27,Negro,11,45000,1.711.432.277
11,Masculino,38,Negro,12,1200,1.470.500.966
11,Masculino,48,Negro,9,1100,1.659.497.716
11,Masculino,44,Negro,9,150,1.660.081.705
11,Masculino,54,Branco,4,500,1.708.818.446
11,Masculino,60,Negro,2,1500,1.629.835.718
11,Masculino,20,Branco,7,1200,1.841.180.046
11,Masculino,39,Branco,5,1500,1.673.606.441
11,Masculino,51,Pardo,9,2600,1.677.800.592
11,Masculino,42,Negro,12,3500,1.632.194.458
11,Masculino,29,Branco,16,2400,171.899.259
11,Masculino,58,Negro,1,100,173.507.318
11,Masculino,35,Negro,7,750,1.793.295.734
11,Masculino,34,Branco,5,900,1.643.410.333
11,Masculino,65,Branco,1,5000,1.591.437.177
11,Masculino,58,Negro,1,1500,1.729.774.165
11,Masculino,46,Negro,11,1000,1.795.602.005
11,Masculino,48,Branco,9,5000,1.878.888.606
11,Masculino,57,Branco,5,1400,1.633.582.728
11,Masculino,33,Negro,1,900,1.835.061.062
11,Masculino,43,Negro,4,1500,1.647.803.708
11,Masculino,43,Branco,12,1200,1.600.814.618
11,Masculino,52,Negro,1,788,1.632.018.283
11,Masculino,25,Negro,6,788,1.818.162.348
11,Masculino,50,Branco,5,2000,1.938.219.796
11,Masculino,54,Negro,9,2000,1.689.681.081
11,Masculino,50,Negro,12,2000,1.721.098.092
11,Masculino,46,Branco,1,1200,180.760.251
11,Feminino,41,Branco,9,2000,1.642.779.839
11,Feminino,44,Negro,9,788,1.768.451.647
11,Masculino,46,Negro,5,1290,1.787.446.875
11,Masculino,34,Negro,9,1500,1.687.085.031
11,Masculino,38,Negro,16,1200,1.779.971.788
11,Masculino,39,Negro,12,2500,1.790.373.592
11,Masculino,51,Negro,5,1800,163.438.931
